Hebrew,Niqqud,Transliteration,Translation,Niqqud_Length
משברים,מַשְׁבְּרִים,mashbᵉrim,crises,12
הצלחה,הַצְלָחָה,hatzlaḥa,success,9
ברירה,בְּרִירָה,brira,"option, choice",9
תפקיד,תַּפְקִיד,tafqid,role,9
עניין,עִנְיָן,‘inyan,"matter, interest",7
כישלון,כִּשָּׁלוֹן,kishshalon,failure,11
קול,קוֹל,qol,voice,4
מצב,מַצָּב,matztzav,situation,6
יציאה,יְצִיאָה,yᵉtzi’a,exit,8
יציאות,יְצִיאוֹת,yᵉtzi’ot,exits,9
תקווה,תִּקְוָה,tiqva,hope,8
הזדמנות,הִזְדַּמְּנוּת,hizdammnut,opportunity,14
הזדמנויות,הִזְדַּמְּנוּיוֹת,hizdammnuyot,opportunities,17
כניסה,כְּנִיסָה,knisa,entrance,9
השפעה,הַשְׁפָּעָה,hashpa‘a,influence,11
פתרון,פִּתְרוֹן,pitron,solution,9
ייצור,יִצּוּר,yitztzur,manufacturing,7
הסכם,הֶסְכֵּם,heskem,agreement,8
הגנה,הֲגָנָה,hagana,defense,7
תוצאה,תּוֹצָאָה,totza’a,result,9
תוצאות,תּוֹצָאוֹת,totza’ot,results,10
אפשרות,אֶפְשָׁרוּת,’efsharut,possibility,11
אפשרויות,אֶפְשָׁרוּיוֹת,’efsharuyot,options,14
בעיה,בְּעָיָה,bᵉ‘aya,problem,8
בעיות,בְּעָיוֹת,bᵉ‘ayot,problems,9
פעילות,פְּעִילוּת,pᵉ‘ilut,activity,10
צד,צַד,tzad,side,3
צדדים,צְדָדִים,tzdadim,sides,8
ביצוע,בִּצּוּעַ,bitztzua‘,"performance, implementation",9
ביצועים,בִּצּוּעִים,bitztzu‘im,"performances, implementation",11
תוכן,תֹּכֶן,tokhen,content,6
קטגוריה,קָטֵגוֹרְיָה,qategorᵉya,category,12
תיאור,תֵּאוּר,te’ur,description,7
ערך,עֵרֶךְ,‘erekh,value,6
תמונת פרופיל,תְּמוּנַת פְּרוֹפִיל,tmunat profil,profile picture,20
ציוד,צִיוּד,tziyud,equipment,6
תמונה,תְּמוּנָה,tmuna,picture,9
רמה,רָמָה,rama,level,5
חשבון,חֶשְׁבּוֹן,ḥeshbon,"account, tab, check",10
רעש,רַעַשׁ,ra‘ash,noise,6
שליטה,שְׁלִיטָה,shlita,control,9
פרופיל,פְּרוֹפִיל,profil,profile,10
שיחה,שִׂיחָה,siḥa,conversation,7
סוג,סוּג,sug,type,4
עיצוב,עִצּוּב,‘itztzuv,design,7
קבוצה,קְבוּצָה,qvutza,group,8
גירסה,גִּרְסָה,girsa,version,8
גרסאות,גִּרְסָאוֹת,girsa’ot,versions,11
מקרה,מִקְרֶה,miqre,"case, occurrence, incident",7
פקודה,פְּקֻדָּה,pqudda,"command, order",9
פקודות,פְּקֻדּוֹת,pquddot,"commands, orders",10
השקפה,הַשְׁקָפָה,hashqafa,"perspective, point of view",10
שירות,שֵׁרוּת,sherut,service,7
מערכת,מַעֲרֶכֶת,ma‘arekhet,"system, set",9
חלק,חֵלֶק,ḥeleq,part,5
חלקים,חֲלָקִים,ḥalaqim,parts,8
רשימה,רְשִׁימָה,rᵉshima,list,9
השתמש (ב-),הִשְׁתַּמֵּשׁ,hishtammesh,use! (to a male),13
השתמשי (ב-),הִשְׁתַּמְּשִׁי,hishtamᵉshi,use! (to a female),15
השתמשו (ב-),הִשְׁתַּמְּשׁוּ,hishtamᵉshu,use! (to a group),15
התעלם,הִתְעַלֵּם,hit‘allem,ignore! (to a male),10
התעלמי,הִתְעַלְּמִי,hit‘allᵉmi,ignore! (to a female),12
התעלמו,הִתְעַלְּמוּ,hit‘allᵉmu,ignore! (to a group),12
התכונן,הִתְכּוֹנֵן,hitkonen,prepare! get ready! (to a male),11
התכונני,הִתְכּוֹנְּנִי,hitkonni,get prepared! (to a female),14
התכוננו,הִתְכּוֹנְּנוּ,hitkonnu,get prepared! (to a group),14
התפלל,הִתְפַּלֵּל,hitpallel,pray! (to a male),11
התפללי,הִתְפַּלְּלִי,hitpalᵉli,pray! (to a female),13
התפללו,הִתְפַּלְּלוּ,hitpalᵉlu,pray! (to a group),13
הסתפר,הִסְתַּפֵּר,histapper,cut your hair! (to a male),11
הסתפרי,הִסְתַּפְּרִי,histappᵉri,cut your hair! (to a female),13
הסתפרו,הִסְתַּפְּרוּ,histappᵉru,cut your hair! (to a group),13
הצטרף (אל),הִצְטָרֵף,hitztaref,join! (to a male),9
הצטרפי (אל),הִצְטַרְּפִי,hitztarᵉfi,join! (to a female),12
הצטרפו (אל),הִצְטָרְפוּ,hitztarᵉfu,join! (to a group),11
התחבא,הִתְחַבֵּא,hitḥabbe’,hide! (to a male),10
התחבאי,הִתְחַבְּאִי,hitḥabbᵉ’i,hide! (to a female),12
התחבאו,הִתְחַבְּאוּ,hitḥabbᵉ’u,hide! (to a group),12
הסתכל (אל),הִסְתַּכֵּל,histakkel,look [at]! (to a male),11
הסתכלי (אל),הִסְתַּכְּלִי,histakli,look [at]! (to a female),13
הסתכלו (אל),הִסְתַּכְּלוּ,histaklu,look [at]! (to a group),13
התקרב (אל),הִתְקָרֵב,hitqarev,come closer [to]! (to a male),9
התקרבי (אל),הִתְקָרְבִי,hitqarᵉvi,come closer [to]! (to a female),11
התקרבו (אל),הִתְקַרְּבוּ,hitqarᵉvu,come closer [to]! (to a group),12
התחבר (ל),הִתְחַבֵּר,hitḥabber,connect [to]! (to a male),10
התחברי (ל),הִתְחַבְּרִי,hitḥabri,connect [to]! (to a female),12
התחברו (ל),הִתְחַבְּרוּ,hitḥabru,connect [to]! (to a group),12
התקלח,הִתְקָלֵחַ,hitqalleaḥ,take a shower! (to a male),10
התקלחי,הִתְקַלְּחִי,hitqallᵉḥi,take a shower! (to a female),12
התקלחו,הִתְקַלְּחוּ,hitqalᵉḥu,take a shower! (to a group),12
החלף,הַחְלֵף,haḥlef,exchange! (to a male),7
החליפי,הַחְלִיפִי,haḥlifi,exchange! (to a female),10
החליפו,הַחְלִיפוּ,haḥlifu,exchange! (to a group),10
הוסף,הוֹסֵף,hosef,add! (to a male),6
הוסיפי,הוֹסִיפִי,hosifi,add! (to a female),9
הוסיפו,הוֹסִיפוּ,hosifu,add! (to a group),9
הזמן,הַזְמֵן,hazmen,invite! (to a male),7
הזמיני,הַזְמִינִי,hazmini,invite! (to a female),10
הזמינו,הַזְמִינוּ,hazminu,invite! (to a group),10
הצג,הַצֵּג,hatztzeg,show! present! (to a male),6
הציגי,הַצִּיגִי,hatztzigi,show! present! (to a female),9
הציגו,הַצִּיגוּ,hatztzigu,show! present! (to a group),9
החלט,הַחְלֵט,haḥlet,decide! (to a male),7
החליטי,הַחְלִיטִי,haḥliti,decide! (to a female),10
החליטו,הַחְלִיטוּ,haḥlitu,decide! (to a group),10
הזכר,הַזְכֵּר,hazker,remind! (to a male),8
הזכירי,הַזְכִּירִי,hazkiri,remind! (to a female),11
הזכירו,הַזְכִּירוּ,hazkiru,remind! (to a group),11
הרגש,הָרְגֵּש,hargesh,feel! (to a male),8
הרגישי,הָרְגִּישִי,hargishi,feel! (to a female),11
הרגישו,הָרְגִּישוּ,hargishu,feel! (to a group),11
התחל,הַתְחֵל,hatḥel,start! (to a male),7
התחילי,הַתְחִילִי,hatḥili,start! (to a female),10
התחילו,הַתְחִילוּ,hatḥilu,start! (to a group),10
החזר,הַחְזֵר,haḥzer,return! (something) (to a male),7
החזירי,הַחְזִירִי,haḥziri,return! (something) (to a female),10
החזירו,הַחְזִירוּ,haḥziru,return! (something) (to a group),10
הקשב,הַקְשֵׁב,haqshev,listen! (to a male),8
הקשיבי,הַקְשִׁיבִי,haqshivi,listen! (to a female),11
הקשיבו,הַקְשִׁיבוּ,haqshivu,listen! (to a group),11
האמֵן,הַאֲמֵן,ha’amen,believe! (to a male),7
האמיני,הַאֲמִינִי,ha’amini,believe! (to a female),10
הַאמינו,הַאֲמִינוּ,ha’aminu,believe! (to a group),10
הראֵה,הָרְאֵה,har’e,show! (to a male),7
הראי,הַרְאִי,har’i,show! (to a female),7
הראו,הַרְאוּ,har’u,show! (to a group),7
רחם על,רַחֵם,raḥem,have mercy [on]! (to a male),5
רחמי על,רַחֲמִי,raḥami,have mercy [on]! (to a female),7
רחמו על,רַחֲמוּ,raḥamu,have mercy [on]! (to a group),7
חכה,חַכֶּה,ḥakke,wait! (to a male),6
חכי,חַכִּי,ḥakki,wait! (to a female),6
חכו,חַכוּ,ḥakhu,wait! (to a group),5
ברך,בָּרֵךְ,barekh,congratulage! bless! (to a male),7
ברכי,בָּרְכִי,barᵉkhi,congratulage! bless! (to a female),8
ברכו,בָּרְכוּ,barᵉkhu,congratulage! bless! (to a group),8
צלם,צַלֵּם,tzallem,photograph! (to a male),6
צלמי,צַלְּמִי,tzalmi,photograph! (to a female),8
צלמו,צְלָמוּ,tzlamu,photograph! (to a group),7
למד,לַמֵּד,lammed,teach! (to a male),6
למדי,לַמְּדִי,lammᵉdi,learn! (to a female),8
למדו,לַמְּדוּ,lammᵉdu,learn! (to a group),8
ערבב,עַרְבֵּב,‘arbev,mix! / stir! (to a male),8
ערבבי,עַרְבְּבִי,‘arbᵉvi,mix!  / stir! (to a female),10
ערבבו,עַרְבְּבוּ,‘arbᵉvu,mix! / stir! (to a group),10
סַיים,סַיֵּם,sayyem,finish! (to a male),6
סַיימי,סַיְּמִי,sayyᵉmi,finish! (to a female),8
סַיימן,סַיְּמוּ,sayyᵉmu,finish! (to a group),8
תקן,תַּקֵּן,taqqen,correct! (to a male),7
תקני,תַּקְּנִי,taqqᵉni,correct! (to a female),9
תקנו,תַּקְּנוּ,taqqᵉnu,correct! (to a group),9
סמן,סַמֵּן,sammen,mark! (to a male),6
סמני,סַמְּנִי,samᵉni,mark! (to a female),8
סמנו,סַמְּנוּ,sammᵉnu,mark! (to a group),8
חפש,חַפֵּשׂ,ḥappes,search! (to a male),7
חפשי,חַפְּשִׂי,ḥappᵉsi,search! (to a female),9
חפשו,חַפְּשׂוּ,ḥappᵉsu,search! (to a group),9
קבל,קַבֵּל,qabbel,accept! (to a male),6
קבלי,קַבְּלִי,qabbᵉli,accept! (to a female),8
קבלו,קַבְּלוּ,qabbᵉlu,accept! (to a group),8
נסה,נַסֵּה,nasse,try! (to a male),6
נסי,נַסִּי,nassi,try! (to a female),6
נסו,נִסּוּ,nissu,try! (to a group),6
שלח,שְׁלַח,shlaḥ,send! (to a male),6
שלחי,שִׁלְחִי,shilḥi,send! (to a female),8
שלחו,שִׁלְחוּ,shilḥu,send! (to a group),8
שכח,שְׁכַח,shᵉkhaḥ,forget! (to a male),6
שכחי,שִׁכְחִי,shikhḥi,forget! (to a female),8
שכחו,שִׁכְחוּ,shikhḥu,forget! (to a group),8
צא,צֵא,tze’,get out! (to a male),3
צאי,צְאִי,tzᵉ’i,get out! (to a female),5
צאו,צְאוּ,tzᵉ’u,get out! (to a group),5
שב,שֵׁב,shev,sit! (to a male),4
שבי,שְׁבִי,shvi,sit! (to a female),6
שבו,שְׁבוּ,shvu,sit! (to a group),6
צפה,צְפֵה,tzᵉfe,watch! (to a male),5
צפי,צְפִי,tzᵉfi,watch! (to a female),5
צפו,צְפוּ,tzᵉfu,watch! expect! (to a group),5
שתה,שְׁתֵה,shᵉte,drink (to a male),6
שתי,שְׁתִי,shᵉti,drink (to a female),6
שתו,שְׁתוּ,shᵉtu,drink (to a group),6
טוס,טוּס,tus,fly! (to a male),4
טוסי,טוּסִי,tusi,fly! (to a female),6
טוסו,טוּסוּ,tusu,fly! (to a group),6
דע,דַּע,da‘,know! (to a male),4
דעי,דְּעִי,dᵉ‘i,know! (to a female),6
דעו,דְּעוּ,dᵉ‘u,know! (to a group),6
פתח,פְּתַח,ptaḥ,open! (to a male),6
פתחי,פִּתְחִי,pitḥi,open! (to a female),8
פתחו,פִּתְחוּ,pitḥu,open! (to a group),8
קח,קַח,qaḥ,take! (to a male),3
קחי,קְחִי,qᵉḥi,take! (to a female),5
קחו,קְחוּ,qᵉḥu,take! (to a group),5
עצור,עֲצֹר,‘atzor,stop! (to a male),5
עצרי,עִצְרִי,‘itzri,stop! (to a female),7
עצרו,עִצְרוּ,‘itzru,stop! (to a group),7
שים,שִׂים,sim,put! (to a male),5
שימי,שִׂימִי,simi,put! (to a female),7
שימו,שִׂימוּ,simu,put! (to a group),7
קנה,קְנֵה,qne,buy! (to a male),5
קני,קְנִי,qni,buy! (to a female),5
קנו,קְנוּ,qnu,buy! (to a group),5
לך,לֵךְ,lekh,walk! / go! (to a male),4
לכי,לְכִי,lᵉkhi,walk! / go! (to a female),5
לכו,לְכוּ,lᵉkhu,walk! / go! (to a group),5
עשֵה,עֲשֵׂה,‘ase,do! (to a male),6
עשי,עֲשִׂי,‘asi,do! (to a female),6
עשו,עֲשׂוּ,‘asu,do! (to a group),6
רוץ,רוּץ,rutz,run! (to a male),4
רוצי,רוּצִי,rutzi,run! (to a female),6
רוצו,רוּצוּ,rutzu,run! (to a group),6
עזור,עָזוֹר,‘azor,help! (to a male),6
עזרי,עִזְרִי,‘izri,help! (to a female),7
עזרו,עִזְרוּ,‘izru,help! (to a group),7
בוא,בּוֹא,bo’,come! (to a male),5
בואי,בּוֹאִי,bo’i,come! (to a female),7
בואו,בּוֹאוּ,bo’u,come! (to a group),7
שמור,שְׁמֹר,shᵉmor,take care of! / keep! / guard! (to a male),6
שמרי,שִׁמְרִי,shimri,take care of! / keep! / guard! (to a female),8
שמרו,שִׁמְרוּ,shimru,take care of! / keep! / guard! (to a group),8
תן,תֵּן,ten,give! (to a male),4
תני,תְּנִי,tni,give! (to a female),6
תנו,תְּנוּ,tnu,give! (to a group),6
פסיק,פְּסִיק,psiq,comma,7
נקודה,נְקֻדָּה,nᵉqudda,"period, dot",8
פסיקים,פְּסִיקִים,psiqim,commas,10
דובר,דוֹבֵר,dover,speaker,6
נקודות,נְקֻדּוֹת,nᵉquddot,"points, dots",9
שפת האם,שְׂפַת הָאֵם,sfat ha’em,mother tongue,12
שורות,שׁוּרוֹת,shurot,lines,8
דוברת,דוֹבֶרֶת,doveret,speaker,8
פעלים,פְּעָלִים,p‘alim,verbs,9
נוטֶה,נוֹטֶה,note,"conjugate, to be inclined ",6
שם תואר,שֵׁם תֹּאַר,shem to’ar,adjective,11
נוטָה,נוֹטָה,nota,"conjugate, to be inclined",6
יידיש,יִידִישׁ,yidish,Yiddish,8
שם עצם,שֵׁם עֶצֶם,shem ‘etzem,noun,10
אספרנטו,אֶסְפֵּרַנְטוֹ,’esperanto,Esperanto,14
פועַל,פֹּעַל,po‘al,verb,6
פולנית,פּוֹלָנִית,polanit,Polish (lang.),10
בלשנות,בַּלְשָׁנוּת,balshanut,Linguistics,12
הונגרית,הוּנְגָרִית,hungarit,Hungarian (lang.),11
הינדי,הִינְדִּי,hindi,"Hindu, Hindi",9
בלשן,בַּלְשָׁן,balshan,linguist,9
אירית,אִירִית,’irit,Irish (lang.),7
יוונית,יְוָנִית,yᵉvanit,Greek (lang.),8
משפטים,מִשְׁפָּטִים,mishpatim,sentences,12
ערבית,עֲרָבִית,‘aravit,Arabic (lang.),8
יפנית,יַפָּנִית,yappanit,Japanese (lang.),9
אות,אוֹת,’ot,letter,4
אותיות,אוֹתִיּוֹת,’otiyyot,letters,10
צ'כית,צֶ'כִית,tzekhit',Czech (lang.),7
דנית,דֶּנִית,denit,Danish (lang.),7
שוודית,שְׁוֶדִית,shvedit,Swedish (lang.),9
מילון,מִילוֹן,milon,dictionary,7
איטלקית,אִיטַלְקִית,’italqit,Italian (lang.),11
הולנדית,הוֹלַנְדִית,holandit,Dutch (lang.),11
פורטוגזית,פּוֹרְטוּגֶזִית,portugezit,Portuguese (lang.),15
רוסית,רוּסִית,rusit,Russian (lang.),7
שפות,שָׂפוֹת,safot,languages,7
סינית,סִינִית,sinit,Chinese (lang.),7
צרפתית,צָרְפָתִית,tzarfatit,French,10
גרמנית,גֶּרְמָנִית,germanit,German (lang.),11
ספרדית,סְפָרַדִּית,sfaraddit,Spanish (lang.),11
שפה,שָׂפָה,safa,language,6
כבאי,כַּבַּאי,kabba’y,firefighter,8
כבאים,כַּבָּאִים,kabba’im,firefighters,10
אזעקה,אַזְעָקָה,’az‘aqa,"alarm, siren",9
נופל,נוֹפֵל,nofel,"falling (m,s)",6
נופלת,נוֹפֶלֶת,nofelet,"falling (m,f)",8
נפלתי,נָפַלְתִּי,nafalti,I fell,10
עזרה ראשונה,עֶזְרָה רִאשׁוֹנָה,‘ezra ri’shona,first aid,18
טובע,טוֹבֵעַ,tovea‘,"drowning (m,s)",7
טובעת,טוֹבַעַת,tova‘at,"drowning (m,f)",8
מסוכן,מְסֻכָּן,mᵉsukkan,dangerous,8
מסוכנים,מְסֻכָּנִים,mᵉsukkanim,dangerous (p),11
פיצוץ,פִּיצוּץ,pitzutz,explosion,8
מתחשמל,מִתְחַשְׁמֵל,mitḥashmel,I am / you m. sg. are / he / it is getting electrocuted,12
מתחשמלים,מִתְחַשְׁמְלִים,mitḥashmᵉlim,we / you m. pl. / they m. are getting electrocuted,15
שריפה,שְׂרֵפָה,srefa,"fire, conflagration, incineration",8
מצוקה,מְצוּקָה,mᵉtzuqa,"trouble, distress",8
פצוע,פָּצוּעַ,patzua‘,"injured (m, s)",8
פצועים,פְּצוּעִים,pᵉtzu‘im,"injured (m, p)",10
מתעלף,מִתְעַלֵּף,mit‘allef,"fainting (m,s)",10
מתעלפת,מִתְעַלֶּפֶת,mit‘allefet,"fainting (f,s)",12
תאונה,תְּאוּנָה,tᵉ’una,accident,9
הכרה,הַכָּרָה,hakkara,consciousness,8
חובש,חוֹבֵשׁ,ḥovesh,paramedic (m),7
חובשת,חוֹבֶשֶׁת,ḥoveshet,paramedic (f),9
חובשים,חוֹבְשִׁים,ḥovshim,paramedics,10
מקרה חירום,מִקְרֶה חִירוּם,miqre ḥirum,emergency,15
לכוד,לָכוּד,lakhud,"trapped (m, s)",6
לכודים,לְכוּדִים,lᵉkhudim,"trapped (m, p)",9
מבצעת,מְבַצַּעַת,mᵉvatztza‘at,I / you f. sg. / she / it perform(s),10
מבצעים,מְבַצְּעִים,mᵉvatz‘im,we / you m. pl. / they m. perform,11
החייאה,הַחְיָאָה,haḥya’a,CPR,9
מגן דוד אדום,מָגֵן דָּוִד אָדֹם,magen david ’adom,Magen David Adom,18
מחלץ,מְחַלֵּץ,mᵉḥalletz,I / you m. sg. / he / it rescue(s),8
מחלצים,מְחַלְצִים,mᵉḥaltzim,we / you m. pl. / they m. rescue,10
מחלצת,מְחַלְצַת,mᵉḥaltzat,I / you f. sg. / she / it rescue(s),9
הצילו,הַצִּילוּ,hatztzilu,save!,9
זהירות,זְהִירוּת,zᵉhirut,caution,9
עזרה,עֶזְרָה,‘ezra,help,7
חילוץ,חִלּוּץ,ḥillutz,rescue,7
יהיה לי,יִהְיֶה לִי,yihye li,"I will have (m, s obj.)",11
יהיה לנו,יִהְיֶה לָנוּ,yihye lanu,"we will have (m, s obj.)",13
יהיה להם,יִהְיֶה לָהֶם,yihye lahem,"they will have (m, s obj.)",13
תהיה לי,תִּהְיֶה לִי,tihye li,"I will have (f, s obj.)",12
תהיה לךָ,תִּהְיֶה לְךָ,tihye lᵉkha,"you (m, s) will have (f, s obj.)",13
תהיה לו,תִּהְיֶה לוֹ,tihye lo,"he will have (f, s obj.)",12
תהיה לכם,תִּהְיֶה לָכֶם,tihye lakhem,"you (m, p) will have (f, s obj.)",14
יהיו לנו,יִהְיוּ לָנוּ,yihyu lanu,we will have (p),13
יהיו לה,יִהְיוּ לָהּ,yihyu lah,she will have (p),12
יהיו לי,יִהְיוּ לִי,yihyu li,I will have (p),11
אהיה,אֶהְיֶה,e’ehye,I will be,7
תהיה,תִּהְיֶה,tihye,"you (m, s) /she will be",8
תהיי,תִּהְיִי,tihyi,"you (f, s) will be",8
יהיה,יִהְיֶה,yihye,he will be,7
נהיה,נִהְיֶה,nihye,we will be,7
תהיו,תִּהְיוּ,tihyu,you (p) will be,8
תהיינה,תִּהְיֶינָה,tihyena,"you/they (f, p) will be",11
יהיו,יִהְיוּ,yihyu,they will be,7
אכתוב,אֶכְתֹּב,’ekhtov,I will write,8
תכתוב,תִּכְתוֹב,tikhtov,"you (m, s), she will write",9
תכתבי,תִּכְתְּבִי,tikhtᵉvi,"you (f, s) will write",11
יכתוב,יִכְתֹּב,yikhtov,he will write,8
נכתוב,נִכְתֹּב,nikhtov,we  will write,8
תכתבו,תִּכְתְּבוּ,tikhtᵉvu,you (p) will write,11
תכתובנה,תִּכְתֹּבְנָה,tikhtovᵉna,"you/they (f, p) will write",13
יכתבו,יִכְתְּבוּ,yikhtᵉvu,they will write,10
אבחר,אֶבְחַר,’evḥar,I will choose,7
תבחר,תִּבְחַר,tivḥar,"you (m, s) she will choose",8
תבחרי,תִּבְחֲרִי,tivḥari,"you (f, s) will choose",10
יבחר,יִבְחַר,yivḥar,he will choose,7
נבחר,נִבְחַר,nivḥar,we will choose,7
תבחרו,תִּבְחֲרוּ,tivḥaru,you (p) will choose,10
תבחרנה,תִּבְחַרְנָה,tivḥarna,"you/they (f, p) will choose",12
יבחרו,יִבְחָרוּ,yivḥaru,they will choose,9
אפספס,אֲפַסְפֵס,’afasfes,I will miss,9
תפספס,תְּפַסְפֵס,tᵉfasfes,"you (m, s), she will miss",10
תפספסי,תְּפַסְפְסִי,tᵉfasfᵉsi,"you (f, s) will miss",12
יפספס,יְפַסְפֵס,yᵉfasfes,he will miss,9
נפספס,נְפַסְפֵס,nᵉfasfes,we will miss,9
תפספסו,תְּפַסְפְסוּ,tᵉfasfᵉsu,you (p) will miss,12
תפספסנה,תְּפַסְפֵסְנָה,tᵉfasfesᵉna,"you/they (f, p) will miss",14
יפספסו,יִפְסְפְּסוּ,yifsᵉpsu,they will miss,12
אשמע,אֶשְׁמַע,’eshma‘,I will hear,8
תשמע,תִּשְׁמַע,tishma‘,"you (m, s), she will hear",9
תשמעי,תִּשְׁמְעִי,tishmᵉ‘i,"you (f, s) will hear",11
ישמע,יִשְׁמַע,yishma‘,he will hear,8
נשמע,נִשְׁמַע,nishma‘,we  will hear,8
תשמעו,תִּשְׁמְעוּ,tishmᵉ‘u,you (p) will hear,11
תשמענה,תִּשְׁמַעְנָה,tishma‘na,"you/they (f,p) will hear",13
ישמעו,יִשְׁמְעוּ,yishmᵉ‘u,they will hear,10
אשחה,אֶשְׂחֶה,’esḥe,I will swim,8
תשחה,תִּשְׂחֶה,tisḥe,"you (m, s), she will swim",9
תשחי,תִּשְׁחִי,tishḥi,"you (f, s) will swim",9
ישחה,יִשְׂחֶה,yisḥe,he will swim,8
נשחה,נִשְׂחֶה,nisḥe,we will swim,8
תשחו,תִּשְׂחוּ,tisḥu,you (p) will swim,9
תשחינה,תִּשְׂחֶינָה,tisḥena,"you/they (f, p) will swim",12
ישחו,יִשְׂחוּ,yisḥu,they will swim,8
אבוא,אָבוֹא,’avo’,I will come,6
תבוא,תָּבוֹא,tavo’,"you (m, s), she will come",7
תבואי,תָּבוֹאִי,tavo’i,"you (f, s) will come",9
יבוא,יָבוֹא,yavo’,he will come,6
נבוא,נָבוֹא,navo’,we will come,6
תבואו,תָּבוֹאוּ,tavo’u,you (p) will come,9
תבואנה,תָּבֹאְנָה,tavo’ᵉna,"you/they (f, p) will come",10
יבואו,יָבוֹאוּ,yavo’u,they will come,8
אצטרף,אֶצְטָרֵף,’etztaref,I will join,9
תצטרף,תִּצְטָרֵף,titztaref,"you (m, s), she will join",10
תצטרףי,תִּצְטָרְפִי,titztarᵉfi,"you (f, s) will join",12
יצטרף,יִצְטָרֵף,yitztaref,he will join,9
נצטרפ,נִצְטָרֵף,nitztaref,we will join,9
תצטרפו,תִּצְטָרְפוּ,titztarᵉfu,you (p) will join,12
תצטרפנה,תִּצְטָרֵפְנָה,titztarefᵉna,"you/they (f, p) will join",14
יצטרפו,יִצְטָרְפוּ,yitztarfu,they will join,11
אתכונן,אֶתְכּוֹנֵן,’etkonen,I will prepare,11
תתכונן,תִּתְכּוֹנֵן,titkonen,"you (m, s), she will prepare",12
תתכונןי,תִּתְכּוֹנְנִי,titkonᵉni,"you (f, s) will prepare",14
יתכונן,יִתְכּוֹנֵן,yitkonen,he will prepare,11
נתכונן,נִתְכּוֹנֵן,nitkonen,we will prepare,11
תתכוננו,תִּתְכּוֹנְנוּ,titkonᵉnu,you (p) will prepare,14
תתכוננה,תִּתְכּוֹנֵנָּה,titkonenna,"you/they (f, p) will prepare",15
יתכוננו,יִתְכּוֹנְנוּ,yitkonnu,they will prepare,13
אתעלם,אֶתְעַלֵּם,’et‘allem,I will ignore,10
תתעלם,תִּתְעַלֵּם,tit‘allem,"you (m, s), she will ignore",11
תתעלםי,תִּתְעַלְּמִי,tit‘allᵉmi,"you (f, s) will ignore",13
יתעלם,יִתְעַלֵּם,yit‘allem,he will ignore,10
נתעלם,נִתְעַלֵּם,nit‘allem,we will ignore,10
תתעלמו,תִּתְעַלְּמוּ,tit‘alᵉmu,you (p) will ignore,13
תתעלמנה,תִּתְעַלֵּמְנָה,tit‘allemᵉna,"you/they (f, p) will ignore",15
יתעלמו,יִתְעַלְּמוּ,yit‘alᵉmu,they will ignore,12
אתחבר,אֶתְחַבֵּר,’etḥabber,"I will come together, join",10
תתחבר,תִּתְחַבֵּר,titḥabber,"you (m, s), she will come together, join",11
תיתחברי,תִּתְחַבְּרִי,titḥabbᵉri,"you (f, s) will come together, join",13
יתחבר,יִתְחַבֵּר,yitḥabber,"he will come together, join",10
נתחבר,נִתְחַבֵּר,nitḥabber,"we will come together, join",10
תתחברו,תִּתְחַבְּרוּ,titḥabbᵉru,"you (p) will come together, join",13
תתחברנה,תִּתְחַבֵּרְנָה,titḥabberᵉna,"you/they (f, p) will come together, join",15
יתחברו,יִתְחַבְּרוּ,yitḥabru,"they will come together, join",12
אתנצל,אֶתְנַצֵּל,’etnatztzel,I will apologize,10
תתנצל,תִּתְנַצֵּל,titnatztzel,"you (m, s), she will apologize",11
תתנצלי,תִּתְנַצְּלִי,titnatztzᵉli,"you (f, s) will apologize",13
יתנצל,יִתְנַצֵּל,yitnatztzel,he will apologize,10
נתנצל,נִתְנַצֵּל,nitnatztzel,we will apologize,10
תתנצלו,תִּתְנַצֵּלְנָה,titnatzlu,you (p) will apologize,15
תתנצלנה,תִּתְנַצְּלוּ,titnatztzelᵉna,"you/they (f, p) will apologize",13
יתנצלו,יִתְנַצְּלוּ,yitnatzlu,they will apologize,12
אתקלח,אֶתְקַלֵּחַ,’etqalleaḥ,I will shower,11
תתקלח,תִּתְקַלֵּחַ,titqalleaḥ,"you (m, s), she will shower",12
תתקלחי,תִּתְקַלְּחִי,titqallᵉḥi,"you (f, s) will shower",13
יתקלח,יִתְקַלֵּחַ,yitqalleaḥ,he will shower,11
נתקלח,נִתְקַלֵּחַ,nitqalleaḥ,we will shower,11
תתקלחו,תִּתְקַלְּחוּ,titqallᵉḥu,you (p) will shower,13
תתקלנה,תִּתְקַלַּחְנָה,titqallaḥna,"you/they (f, p) will shower",15
יתקלחו,יִתְקַלְּחוּ,yitqalᵉḥu,they will shower,12
אתגעגע,אֶתְגַּעְגַּע,’etga‘ga‘,I will miss,13
תתגעגע,תִּתְגַּעְגַּע,titga‘ga‘,"you (m, s), she will miss",14
תתגעגעי,תִּתְגַּעְגְּעִי,titga‘gᵉ‘i,"you (f, s) will miss",16
יתגעגע,יִתְגַּעְגַּע,yitga‘ga‘,he will miss,13
נתגעגע,נִתְגַּעְגַּע,nitga‘ga‘,we will miss,13
תתגעגעו,תִּתְגַּעְגְּעוּ,titga‘gᵉ‘u,you (p) will miss,16
